Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
civilianNPCTestFemaleKhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
civilianNPCTestFemaleKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民,Civil
