Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
civilianNPCTestFemaleKhzClub,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzKnife,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzAxe,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzSpear,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzBat,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzMachete,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzSMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzM60,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzPipePistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzDPistol,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
civilianNPCTestFemaleKhzPipeMG,entityclasses,Entity,,,Civilian,,Zivilistin,Civil,Civil,Civile,民間人,일반 민간인,Cywil,Civil,Гражданское лицо,Sivil,平民,平民
