Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
dialog_npc_response_dismiss,Quest,Dialogs,,,Dismiss,,Zurückweisen,Despedir,Rejeter,Congedare,解散,해고하다,Odrzucać,Dispensar,Увольнять,Azletmek,解雇,解僱
dialog_npc_response_follow_me,Quest,Dialogs,,,Follow me,,Folgen Sie mir,Sígueme,Suis-moi,Seguimi,フォローしてください,날 따라 오세요,Chodź za mną,Me siga,Подписывайтесь на меня,Beni takip et,跟着我,跟著我
dialog_npc_response_guard_here,Quest,Dialogs,,,Stay where I am standing,,"Bleib dort, wo ich stehe",Quédate donde estoy parado,Reste là où je suis debout,Resta dove sono in piedi,私が立っている場所にとどまります,내가 서있는 곳에 머물러,"Zostań tam, gdzie stoję",Fique onde estou de pé,"Оставайся там, где я стою",Ayakta durduğum yerde kal,留在我站在的地方,留在我站在的地方
dialog_npc_response_hire,Quest,Dialogs,,,I am interested in hiring you.,,"Ich bin daran interessiert, Sie einzustellen.",Estoy interesado en contratarte.,Je suis intéressé à vous embaucher.,Sono interessato ad assumerti.,私はあなたを雇うことに興味があります。,나는 당신을 고용하는 데 관심이 있습니다.,Jestem zainteresowany cię zatrudnieniem.,Estou interessado em contratar você.,"Я заинтересован в том, чтобы нанять вас.",Seni işe almakla ilgileniyorum.,我有兴趣雇用你。,我有興趣僱用你。
dialog_npc_response_loot_here,Quest,Dialogs,,,Loot around here,,Plündere hier,Saqueo por aquí,Pillage ici,Sott'altro qui,この辺りで略奪します,여기 주위를 약탈하십시오,Z łupy tutaj,Saquear por aqui,Грабеж здесь,Buraya yağma,在这里抢劫,在這裡搶劫
dialog_npc_response_show_inventory,Quest,Dialogs,,,Show me your inventory,,Zeig mir dein Inventar,Muéstrame tu inventario,Montre-moi ton inventaire,Mostrami il tuo inventario,あなたの在庫を見せてください,인벤토리를 보여주세요,Pokaż mi swój ekwipunek,Mostre -me seu inventário,Покажи мне свой инвентарь,Bana envanterini göster,告诉我你的库存,告訴我你的庫存
dialog_npc_response_stay_there,Quest,Dialogs,,,Stay where you are standing,,"Bleib dort, wo du stehst",Quédate donde estás parado,Restez là où vous êtes debout,Resta dove ti trovi,あなたが立っている場所にとどまります,당신이 서있는 곳에 머물러 있습니다,"Zostań tam, gdzie stoisz",Fique onde você está de pé,"Оставайся там, где ты стоишь",Ayakta durduğun yerde kal,留在你站立的地方,留在你站立的地方
dialog_npc_response_wander_here,Quest,Dialogs,,,Patrol around here,,Patrouille hier,Patrulla por aquí,Patrouiller ici,Pattuglia da queste parti,このあたりのパトロール,여기 주변 순찰,Patrol tutaj,Patrulha por aqui,Патруль здесь,Buralarda Devriye,在这里巡逻,在這裡巡邏
dialog_rogues_response_have_family,Quest,Dialogs,,,Do you have any family?,,Hast du eine Familie?,¿Tienes alguna familia?,Avez-vous une famille?,Hai qualche famiglia?,家族はいますか？,가족이 있습니까?,Czy masz jakąś rodzinę?,Você tem alguma família?,У вас есть семья?,Ailen var mı?,你有家庭吗？,你有家庭嗎？
dialog_rogues_response_how_survive,Quest,Dialogs,,,How do you survive?,,Wie überlebst du?,¿Cómo sobrevives?,Comment survivez-vous?,Come sopravvivi?,どのように生き残りますか？,당신은 어떻게 살아 남았습니까?,Jak przetrwasz?,Como você sobrevive?,Как вы выживаете?,Nasıl hayatta kalıyorsun?,你怎么生存？,你怎么生存？
