Key,english
,
difficulty_very easy,Very Easy
difficulty_easy,Easy
,
difficulty_medium,Medium
,
difficulty_Hard,Hard
difficulty_hard,Hard
,
difficulty_very Hard,Very Hard
difficulty_very hard,Very Hard
,
difficulty_insane,Insane
difficulty_Insane,Insane
,
difficulty_Ridiculous,Ridiculous
difficulty_ridiculous,Ridiculous
,
difficulty_MADNESS,MADNESS
,
ZombieINC_KillBossCraven_key,the Coward Zombie
ZombieINC_KillBossCravenInfested_key,Zack
,
ZombieINC_KillBossDog_key,the Alpha Zombie Dog
ZombieINC_KillBossDogInfested_key,the Subject Omega
,
ZombieINC_KillBossDogMinion_key,the others Zombies Dogs
ZombieINC_KillBossDogMinionInfested_key,the Alpha Dogs
,
ZombieINC_KillBossBiker_key,the Biker Zombie
,
,
ZombieINC_KillBossMultiply_key,the Hungry Zombie
,
,
ZombieINC_KillBossFire_key,the Burnt Zombie and His Family
ZombieINC_KillBossFireInfested_key,the Burnt Zombie and His Family
,
ZombieINC_KillBossScientist_key,the Scientist Zombie
ZombieINC_KillBossScientistInfested_key,the Scientist Zombie
,
ZombieINC_KillBossScientistInfestedMinion1_key,the Necromancer Nurse Zombie
ZombieINC_KillBossScientistInfestedMinion2_key,the Ranged Scientist Zombie
ZombieINC_KillBossScientistInfestedMinion3_key,the Melee Scientist Zombie
,
ZombieINC_KillBossBomber_key,the Bomber Zombie
ZombieINC_KillBossBomberInfested_key,the Bomber Zombie
,
ZombieINC_KillBossTwinsBlue_key,the Twin Blue
ZombieINC_KillBossTwinsBlueInfested_key,the Twin Blue
ZombieINC_KillBossTwinsRed_key,the Twin Red
ZombieINC_KillBossTwinsRedInfested_key,the Twin Red
,
ZombieINC_KillBossDemolition_key,the Demolisher Zombie
ZombieINC_KillBossDemolitionInfested_key,the Tyrant
,
ZombieINC_BossDog,Alpha Dog Boss
ZombieINC_BossDogInfested,Subject Omega Boss
ZombieINC_Hunt_MinionDogInfested_Big,Alpha Dog Minion
ZombieINC_MinionDog1,Minion Dog
ZombieINC_BossBiker,The Biker Boss
ZombieINC_MinionBiker1,Newbie Biker
ZombieINC_BossMultiply,The Hungry Boss
ZombieINC_BossMultiplyMini,The Hungry MiniBoss
ZombieINC_MinionMultiply1,Devoured Zombies
ZombieINC_BossFire,The Burnt Boss
ZombieINC_MinionMaleFire,Burnt Uncle
ZombieINC_MinionWomanFire,Burnt Aunt
ZombieINC_MinionKidFire,Burnt Nephew
ZombieINC_MinionKidFire2,Burnt Little Nephew
ZombieINC_BossScientist,The Scientist Boss
ZombieINC_MinionScientist1,Trainee Marcy
ZombieINC_MinionScientist2,Trainee Karen
ZombieINC_MinionScientist3,Trainee Mary
ZombieINC_MinionScientist4,Trainee Clara
ZombieINC_MinionScientist5,Trainee Sarah
ZombieINC_MinionScientist6,Trainee Elena
ZombieINC_BossTwinsBlue,The Blue Twin Boss
ZombieINC_BossTwinsRed,The Red Twin Boss
ZombieINC_BossTwinsBlueInfested,The Blue Twin Boss
ZombieINC_BossTwinsRedInfested,The Red Twin Boss
ZombieINC_BossBomber,The Bomber Boss
ZINC_BomberInfestedLootBag,Bomber Infested Bag
ZombieINC_BossDemolition,The Demolisher Boss
ZombieINC_BossDemolitionInfested,The Tyrant
ZombieINC_BossCraven,The Coward Boss 
ZombieINC_MinionCraven1,Minion Coward
ZombieINC_MinionCraven2,Minion Coward
ZombieINC_MinionCraven3,Minion Coward
ZombieINC_MinionCraven4,Minion Coward
ZombieINC_BossCart,The Cart Boss
ZombieINC_BossCartInfested,The Destroyer
ZombieINC_BossFireInfested,The Remnant
ZombieINC_BossBomberInfested,The Atomic
ZombieINC_BossDroneInfested,The Central
,
ZombieINC_BossCravenInfested,The Coward
ZombieINC_MinionCravenInfested1,Minion Coward
ZombieINC_MinionCravenInfested2,Minion Coward
ZombieINC_MinionCravenInfested3,Minion Coward
ZombieINC_MinionCravenInfested4,Minion Coward
,
,
ZombieINC_BossScientistInfested,Heisenberg
,
ZombieINC_Hunt_ScientistInfestedNurse1,Nurse PinkWoman
ZombieINC_Hunt_ScientistInfestedNurse2,Nurse Jesse
ZombieINC_Hunt_ScientistInfestedNurse3,Nurse Bitch
ZombieINC_Hunt_ScientistInfestedLab1,Woman Meth Lab Trainee 
,
,
ZombieINC_challenge_tier1_KillBossCraven_name,Tier 1 Hunt the Special Zombie.
ZombieINC_challenge_tier1_KillBossCraven_subtitle,A Peculiar Situation
ZombieINC_challenge_tier1_KillBossCraven_description,"Another piece of information is that the other guy noticed that when this zombie gets hurt, almost immediately other zombies just like him come to help. He said that he heard stories about a large family with more than 10 brothers who were identical.\n\nOne way to accomplish this mission is to kill him with the highest damage possible. Good luck!"
ZombieINC_challenge_tier1_KillBossCraven_offer,"An old customer who was just passing by told me that there are a lot of zombies causing trouble in the area. He said that while scavengers [DECEA3]{poi.name}[-], he encountered [DECEA3]a specific zombie[-]. When he attempted to eliminate it, the cunning undead retreated, and others that were exactly just like him rushed to its aid. Before he got caught surrounded, he left the place. He put a bounty on his head. Do you mind taking the risk?"
ZombieINC_challenge_tier1_KillBossCraven_completion,Thanks for your help! But I'm sure that there are many other zombies that once were like this coward one.
ZombieINC_challenge_tier1_KillBossCraven_response,Hunt the Coward Zombie ([DECEA3]{poi.distance} {poi.direction}[-])
ZombieINC_challenge_tier1_KillBossCraven_statement,"Ah, yes, the classic family reunion of the undead. Who knew zombies were so good at remembering their brothers. Be careful, don't get surrounded."
,
,
,
ZombieINC_challenge_tier1_KillBossWitch_name,Tier 1 Hunt the Special Zombie.
ZombieINC_challenge_tier1_KillBossWitch_subtitle,Some Witchcraft
ZombieINC_challenge_tier1_KillBossWitch_description,This is a very special zombie. Her shout is very powerful; it can make your hands shake. Grab your guns with strength to fight that thing.
