Key,File,Type,UsedInMainMenu,NoTranslate,english

ZombieINC_KillMiniBossPipeMachineGun_key,Quest,Quest Info,,X,the Old Weapon's Owner
ZombieINC_KillBearPipeMachineGun_key,Quest,Quest Info,,X,the Old Bear



ZombieINC_WeaponTest_KnuclesRewardBuff_Name,buffs,Buff,,x,"Knuckles Reward"
ZombieINC_WeaponTest_KnuclesRewardBuff_Desc,buffs,Buff,,x,"The weapon performance data collected by you was very useful. Just a few more adjustments, and your weapon will be ready.\n\nWait 10 minutes to receive your reward."
ZombieINC_WeaponTest_KnuclesRewardBuff_tooltip_key,buffs,Buff,,x,"You Will Receive Your Reward When the Trader is done"

ZombieINC_WeaponTest_NailgunRewardBuff_Name,buffs,Buff,,x,"Nailgun Reward"
ZombieINC_WeaponTest_NailgunRewardBuff_Desc,buffs,Buff,,x,"The weapon performance data collected by you was very useful. Just a few more adjustments, and your weapon will be ready.\n\nWait 10 minutes to receive your reward."
ZombieINC_WeaponTest_NailgunRewardBuff_tooltip_key,buffs,Buff,,x,"You Will Receive Your Reward When the Trader is done"

ZombieINC_WeaponTest_IceHammerRewardBuff_Name,buffs,Buff,,x,"Ice Hammer Reward"
ZombieINC_WeaponTest_IceHammerRewardBuff_Desc,buffs,Buff,,x,"The weapon performance data collected by you was very useful. Just a few more adjustments, and your weapon will be ready.\n\nWait 10 minutes to receive your reward."
ZombieINC_WeaponTest_IceHammerRewardBuff_tooltip_key,buffs,Buff,,x,"You Will Receive Your Reward When the Trader is done"

ZombieINC_WeaponTest_SpearGunRewardBuff_Name,buffs,Buff,,x,"SpearGun Reward"
ZombieINC_WeaponTest_SpearGunRewardBuff_Desc,buffs,Buff,,x,"The weapon performance data collected by you was very useful. Just a few more adjustments, and your weapon will be ready.\n\nWait 10 minutes to receive your reward."
ZombieINC_WeaponTest_SpearGunRewardBuff_tooltip_key,buffs,Buff,,x,"You Will Receive Your Reward When the Trader is done"

ZombieINC_WeaponTest_FireShockSpearRewardBuff_Name,buffs,Buff,,x,"Fire 'n' Shock Spear Reward"
ZombieINC_WeaponTest_FireShockSpearRewardBuff_Desc,buffs,Buff,,x,"The weapon performance data collected by you was very useful. Just a few more adjustments, and your weapon will be ready.\n\nWait 10 minutes to receive your reward."
ZombieINC_WeaponTest_FireShockSpearRewardBuff_tooltip_key,buffs,Buff,,x,"You Will Receive Your Reward When the Trader is done"


ZombieINC_challenge_ExplosiveKnucles_name,Quests,Quest Info,,x,"Experimental Weapon Mission"
