Key,Source,Context,Changes,English,NoTranslate
tableSaw_LtD,blocks,block,new,"Table Saw",
tableSaw_LtDDesc,blocks,block,new,,
oldWoodDoor_LtD,blocks,block,new,"Wood Door",
oldWoodDoorDouble_LtD,blocks,block,new,"Wood Double Door",
ironDoorWhite_LtD,blocks,block,new,"White Iron Door",
ironDoorBrown_LtD,blocks,block,new,"Brown Iron Door",
ironDoorRed_LtD,blocks,block,new,"Red Iron Door",
ironDoorOrange_LtD,blocks,block,new,"Orange Iron Door",
ironDoorYellow_LtD,blocks,block,new,"Yellow Iron Door",
ironDoorGreen_LtD,blocks,block,new,"Green Iron Door",
ironDoorBlue_LtD,blocks,block,new,"Blue Iron Door",
ironDoorPurple_LtD,blocks,block,new,"Purple Iron Door",
ironDoorGrey_LtD,blocks,block,new,"Grey Iron Door",
ironDoorBlack_LtD,blocks,block,new,"Black Iron Door",
ironDoorPink_LtD,blocks,block,new,"Pink Iron Door",
ironDoorArmyGreen_LtD,blocks,block,new,"Army Green Iron Door",
ironDoorBlockVariantHelper_LtD,blocks,block,new,"Iron Door",
ironDoorDoubleWhite_LtD,blocks,block,new,"White Iron Door Double",
ironDoorDoubleBrown_LtD,blocks,block,new,"Brown Iron Door Double",
ironDoorDoubleRed_LtD,blocks,block,new,"Red Iron Door Double",
ironDoorDoubleOrange_LtD,blocks,block,new,"Orange Iron Door Double",
ironDoorDoubleYellow_LtD,blocks,block,new,"Yellow Iron Door Double",
ironDoorDoubleGreen_LtD,blocks,block,new,"Green Iron Door Double",
ironDoorDoubleBlue_LtD,blocks,block,new,"Blue Iron Door Double",
ironDoorDoublePurple_LtD,blocks,block,new,"Purple Iron Door Double",
ironDoorDoubleGrey_LtD,blocks,block,new,"Grey Iron Door Double",
ironDoorDoubleBlack_LtD,blocks,block,new,"Black Iron Door Double",
ironDoorDoublePink_LtD,blocks,block,new,"Pink Iron Door Double",
ironDoorDoubleArmyGreen_LtD,blocks,block,new,"Army Green Iron Door Double",
ironDoorDoubleBlockVariantHelper_LtD,blocks,block,new,"Iron Door Double",
cellarDoorDoubleWood_LtD,blocks,block,new,"Wood Cellar Door",
cellarDoorDoubleWood_LtDDesc,blocks,block,new,"Press & hold [action:local:Activate][action:permanent:Activate] to lock it or set a combination. Repair with wood and a construction tool using the secondary action. Upgrade to an Iron Cellar Door using a crafted Iron Cellar Door.",
cellarDoorDoubleIron_LtD,blocks,block,new,"Iron Cellar Door",
cellarDoorDoubleIron_LtDDesc,blocks,block,new,"Press & hold [action:local:Activate][action:permanent:Activate] to lock it or set a combination. Repair with Forged Iron and a construction tool using the secondary action. Upgrade to a Steel Cellar Door using a crafted Steel Cellar Door.",
cellarDoorDoubleSteel_LtD,blocks,block,new,"Steel Cellar Door",
cellarDoorDoubleSteel_LtDDesc,blocks,block,new,"Press & hold [action:local:Activate][action:permanent:Activate] to lock it or set a combination. Repair with Forged Steel and a construction tool using the secondary action.",
shuttersWood01_LtD,blocks,block,new,"Wood Shutters Inside",
shuttersWood02_LtD,blocks,block,new,"Wood Shutters Outside",
shuttersWoodBlockVariantHelper_LtD,blocks,block,new,"Wood Shutters",
shuttersIron01_LtD,blocks,block,new,"Iron Shutters Inside",
shuttersIron02_LtD,blocks,block,new,"Iron Shutters Outside",
shuttersIronBlockVariantHelper_LtD,blocks,block,new,"Iron Shutters",
shuttersSteel01_LtD,blocks,block,new,"Steel Shutters Inside",
shuttersSteel02_LtD,blocks,block,new,"Steel Shutters Outside",
shuttersSteelBlockVariantHelper_LtD,blocks,block,new,"Steel Shutters",
exteriorHouseDoorWhite_LtD,blocks,block,new,"White Exterior House Door",
exteriorHouseDoorBrown_LtD,blocks,block,new,"Brown Exterior House Door",
exteriorHouseDoorRed_LtD,blocks,block,new,"Red Exterior House Door",
exteriorHouseDoorOrange_LtD,blocks,block,new,"Orange Exterior House Door",
exteriorHouseDoorYellow_LtD,blocks,block,new,"Yellow Exterior House Door",
exteriorHouseDoorGreen_LtD,blocks,block,new,"Green Exterior House Door",
exteriorHouseDoorBlue_LtD,blocks,block,new,"Blue Exterior House Door",
exteriorHouseDoorPurple_LtD,blocks,block,new,"Purple Exterior House Door",
exteriorHouseDoorGrey_LtD,blocks,block,new,"Grey Exterior House Door",
exteriorHouseDoorPink_LtD,blocks,block,new,"Pink Exterior House Door",
exteriorHouseDoorOak_LtD,blocks,block,new,"Oak Exterior House Door",
exteriorHouseDoorBlockVariantHelper_LtD,blocks,block,new,"Exterior House Door",
exteriorHouseDoorDoubleWhite_LtD,blocks,block,new,"White Exterior House Double Door",
exteriorHouseDoorDoubleBrown_LtD,blocks,block,new,"Brown Exterior House Double Door",
exteriorHouseDoorDoubleRed_LtD,blocks,block,new,"Red Exterior House Double Door",
exteriorHouseDoorDoubleOrange_LtD,blocks,block,new,"Orange Exterior House Double Door",
exteriorHouseDoorDoubleYellow_LtD,blocks,block,new,"Yellow Exterior House Double Door",
exteriorHouseDoorDoubleGreen_LtD,blocks,block,new,"Green Exterior House Double Door",
exteriorHouseDoorDoubleBlue_LtD,blocks,block,new,"Blue Exterior House Double Door",
exteriorHouseDoorDoublePurple_LtD,blocks,block,new,"Purple Exterior House Double Door",
exteriorHouseDoorDoubleGrey_LtD,blocks,block,new,"Grey Exterior House Double Door",
exteriorHouseDoorDoublePink_LtD,blocks,block,new,"Pink Exterior House Double Door",
exteriorHouseDoorDoubleOak_LtD,blocks,block,new,"Oak Exterior House Double Door",
exteriorHouseDoorDoubleBlockVariantHelper_LtD,blocks,block,new,"Exterior House Double Door",
exteriorHouseDoorSideLightSingleWhite_LtD,blocks,block,new,"White Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSingleBrown_LtD,blocks,block,new,"Brown Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSingleRed_LtD,blocks,block,new,"Red Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSingleOrange_LtD,blocks,block,new,"Orange Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSingleYellow_LtD,blocks,block,new,"Yellow Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSingleGreen_LtD,blocks,block,new,"Green Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSingleBlue_LtD,blocks,block,new,"Blue Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSinglePurple_LtD,blocks,block,new,"Purple Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSingleGrey_LtD,blocks,block,new,"Grey Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSinglePink_LtD,blocks,block,new,"Pink Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSingleOak_LtD,blocks,block,new,"Oak Exterior House Side Light Single Door",
exteriorHouseDoorSideLightSingleBlockVariantHelper_LtD,blocks,block,new,"Exterior House Side Light Single Door",
exteriorHouseDoorSideLightWhite_LtD,blocks,block,new,"White Exterior House Side Light Door",
exteriorHouseDoorSideLightBrown_LtD,blocks,block,new,"Brown Exterior House Side Light Door",
exteriorHouseDoorSideLightRed_LtD,blocks,block,new,"Red Exterior House Side Light Door",
exteriorHouseDoorSideLightOrange_LtD,blocks,block,new,"Orange Exterior House Side Light Door",
exteriorHouseDoorSideLightYellow_LtD,blocks,block,new,"Yellow Exterior House Side Light Door",
exteriorHouseDoorSideLightGreen_LtD,blocks,block,new,"Green Exterior House Side Light Door",
exteriorHouseDoorSideLightBlue_LtD,blocks,block,new,"Blue Exterior House Side Light Door",
exteriorHouseDoorSideLightPurple_LtD,blocks,block,new,"Purple Exterior House Side Light Door",
exteriorHouseDoorSideLightGrey_LtD,blocks,block,new,"Grey Exterior House Side Light Door",
exteriorHouseDoorSideLightPink_LtD,blocks,block,new,"Pink Exterior House Side Light Door",
exteriorHouseDoorSideLightOak_LtD,blocks,block,new,"Oak Exterior House Side Light Door",
exteriorHouseDoorSideLightBlockVariantHelper_LtD,blocks,block,new,"Exterior House Side Light Door",
exteriorHouseDoorOldWhite_LtD,blocks,block,new,"Old White Exterior House Door",
exteriorHouseDoorOldBrown_LtD,blocks,block,new,"Old Brown Exterior House Door",
exteriorHouseDoorOldRed_LtD,blocks,block,new,"Old Red Exterior House Door",
exteriorHouseDoorOldOrange_LtD,blocks,block,new,"Old Orange Exterior House Door",
exteriorHouseDoorOldYellow_LtD,blocks,block,new,"Old Yellow Exterior House Door",
exteriorHouseDoorOldGreen_LtD,blocks,block,new,"Old Green Exterior House Door",
exteriorHouseDoorOldBlue_LtD,blocks,block,new,"Old Blue Exterior House Door",
exteriorHouseDoorOldPurple_LtD,blocks,block,new,"Old Purple Exterior House Door",
exteriorHouseDoorOldGrey_LtD,blocks,block,new,"Old Grey Exterior House Door",
exteriorHouseDoorOldPink_LtD,blocks,block,new,"Old Pink Exterior House Door",
exteriorHouseDoorOldOak_LtD,blocks,block,new,"Old Oak Exterior House Door",
exteriorHouseDoorOldBlockVariantHelper_LtD,blocks,block,new,"Old Exterior House Door",
exteriorHouseDoorDoubleOldWhite_LtD,blocks,block,new,"Old White Exterior House Double Door",
exteriorHouseDoorDoubleOldBrown_LtD,blocks,block,new,"Old Brown Exterior House Double Door",
exteriorHouseDoorDoubleOldRed_LtD,blocks,block,new,"Old Red Exterior House Double Door",
exteriorHouseDoorDoubleOldOrange_LtD,blocks,block,new,"Old Orange Exterior House Double Door",
exteriorHouseDoorDoubleOldYellow_LtD,blocks,block,new,"Old Yellow Exterior House Double Door",
exteriorHouseDoorDoubleOldGreen_LtD,blocks,block,new,"Old Green Exterior House Double Door",
exteriorHouseDoorDoubleOldBlue_LtD,blocks,block,new,"Old Blue Exterior House Double Door",
exteriorHouseDoorDoubleOldPurple_LtD,blocks,block,new,"Old Purple Exterior House Double Door",
exteriorHouseDoorDoubleOldGrey_LtD,blocks,block,new,"Old Grey Exterior House Double Door",
exteriorHouseDoorDoubleOldPink_LtD,blocks,block,new,"Old Pink Exterior House Double Door",
exteriorHouseDoorDoubleOldOak_LtD,blocks,block,new,"Old Oak Exterior House Double Door",
exteriorHouseDoorDoubleOldBlockVariantHelper_LtD,blocks,block,new,"Old Exterior House Double Door",
exteriorScreenDoor_LtD,blocks,block,new,"Exterior Screen Door",
houseSlidingDoorWhite_LtD,blocks,block,new,"White House Sliding Door",
houseSlidingDoorBlack_LtD,blocks,block,new,"Black House Sliding Door",
houseSlidingDoorBlockVariantHelper_LtD,blocks,block,new,"House Sliding Door",
frenchDoorWhite_LtD,blocks,block,new,"White French Door",
frenchDoorBrown_LtD,blocks,block,new,"Brown French Door",
frenchDoorRed_LtD,blocks,block,new,"Red French Door",
frenchDoorOrange_LtD,blocks,block,new,"Orange French Door",
frenchDoorYellow_LtD,blocks,block,new,"Yellow French Door",
frenchDoorGreen_LtD,blocks,block,new,"Green French Door",
frenchDoorBlue_LtD,blocks,block,new,"Blue French Door",
frenchDoorPurple_LtD,blocks,block,new,"Purple French Door",
frenchDoorGrey_LtD,blocks,block,new,"Grey French Door",
frenchDoorPink_LtD,blocks,block,new,"Pink French Door",
frenchDoorOak_LtD,blocks,block,new,"Oak French Door",
frenchDoorBlockVariantHelper_LtD,blocks,block,new,"French Door",
frenchDoorDoubleWhite_LtD,blocks,block,new,"White French Double Door",
frenchDoorDoubleBrown_LtD,blocks,block,new,"Brown French Double Door",
frenchDoorDoubleRed_LtD,blocks,block,new,"Red French Double Door",
frenchDoorDoubleOrange_LtD,blocks,block,new,"Orange French Double Door",
frenchDoorDoubleYellow_LtD,blocks,block,new,"Yellow French Double Door",
frenchDoorDoubleGreen_LtD,blocks,block,new,"Green French Double Door",
frenchDoorDoubleBlue_LtD,blocks,block,new,"Blue French Double Door",
frenchDoorDoublePurple_LtD,blocks,block,new,"Purple French Double Door",
frenchDoorDoubleGrey_LtD,blocks,block,new,"Grey French Double Door",
frenchDoorDoublePink_LtD,blocks,block,new,"Pink French Double Door",
frenchDoorDoubleOak_LtD,blocks,block,new,"Oak French Double Door",
frenchDoorDoubleBlockVariantHelper_LtD,blocks,block,new,"French Double Door",
interiorHouseDoorWhite_LtD,blocks,block,new,"White Interior House Door",
interiorHouseDoorBrown_LtD,blocks,block,new,"Brown Interior House Door",
interiorHouseDoorRed_LtD,blocks,block,new,"Red Interior House Door",
interiorHouseDoorOrange_LtD,blocks,block,new,"Orange Interior House Door",
interiorHouseDoorYellow_LtD,blocks,block,new,"Yellow Interior House Door",
interiorHouseDoorGreen_LtD,blocks,block,new,"Green Interior House Door",
interiorHouseDoorBlue_LtD,blocks,block,new,"Blue Interior House Door",
interiorHouseDoorPurple_LtD,blocks,block,new,"Purple Interior House Door",
interiorHouseDoorGrey_LtD,blocks,block,new,"Grey Interior House Door",
interiorHouseDoorPink_LtD,blocks,block,new,"Pink Interior House Door",
interiorHouseDoorOak_LtD,blocks,block,new,"Oak Interior House Door",
interiorHouseDoorBlockVariantHelper_LtD,blocks,block,new,"Interior House Door",
interiorHouseDoorDoubleWhite_LtD,blocks,block,new,"White Interior House Double Door",
interiorHouseDoorDoubleBrown_LtD,blocks,block,new,"Brown Interior House Double Door",
interiorHouseDoorDoubleRed_LtD,blocks,block,new,"Red Interior House Double Door",
interiorHouseDoorDoubleOrange_LtD,blocks,block,new,"Orange Interior House Double Door",
interiorHouseDoorDoubleYellow_LtD,blocks,block,new,"Yellow Interior House Double Door",
interiorHouseDoorDoubleGreen_LtD,blocks,block,new,"Green Interior House Double Door",
interiorHouseDoorDoubleBlue_LtD,blocks,block,new,"Blue Interior House Double Door",
interiorHouseDoorDoublePurple_LtD,blocks,block,new,"Purple Interior House Double Door",
interiorHouseDoorDoubleGrey_LtD,blocks,block,new,"Grey Interior House Double Door",
interiorHouseDoorDoublePink_LtD,blocks,block,new,"Pink Interior House Double Door",
interiorHouseDoorDoubleOak_LtD,blocks,block,new,"Oak Interior House Double Door",
interiorHouseDoorDoubleBlockVariantHelper_LtD,blocks,block,new,"Interior House Double Door",
interiorDoorOldWhite_LtD,blocks,block,new,"Old White Interior Door",
interiorDoorOldBrown_LtD,blocks,block,new,"Old Brown Interior Door",
interiorDoorOldRed_LtD,blocks,block,new,"Old Red Interior Door",
interiorDoorOldOrange_LtD,blocks,block,new,"Old Orange Interior Door",
interiorDoorOldYellow_LtD,blocks,block,new,"Old Yellow Interior Door",
interiorDoorOldGreen_LtD,blocks,block,new,"Old Green Interior Door",
interiorDoorOldBlue_LtD,blocks,block,new,"Old Blue Interior Door",
interiorDoorOldPurple_LtD,blocks,block,new,"Old Purple Interior Door",
interiorDoorOldGrey_LtD,blocks,block,new,"Old Grey Interior Door",
interiorDoorOldPink_LtD,blocks,block,new,"Old Pink Interior Door",
interiorDoorOldOak_LtD,blocks,block,new,"Old Oak Interior Door",
interiorDoorOldBlockVariantHelper_LtD,blocks,block,new,"Old Interior Door",
interiorDoorOldDoubleWhite_LtD,blocks,block,new,"Old White Interior Double Door",
interiorDoorOldDoubleBrown_LtD,blocks,block,new,"Old Brown Interior Double Door",
interiorDoorOldDoubleRed_LtD,blocks,block,new,"Old Red Interior Double Door",
interiorDoorOldDoubleOrange_LtD,blocks,block,new,"Old Orange Interior Double Door",
interiorDoorOldDoubleYellow_LtD,blocks,block,new,"Old Yellow Interior Double Door",
interiorDoorOldDoubleGreen_LtD,blocks,block,new,"Old Green Interior Double Door",
interiorDoorOldDoubleBlue_LtD,blocks,block,new,"Old Blue Interior Double Door",
interiorDoorOldDoublePurple_LtD,blocks,block,new,"Old Purple Interior Double Door",
interiorDoorOldDoubleGrey_LtD,blocks,block,new,"Old Grey Interior Double Door",
interiorDoorOldDoublePink_LtD,blocks,block,new,"Old Pink Interior Double Door",
interiorDoorOldDoubleOak_LtD,blocks,block,new,"Old Oak Interior Double Door",
interiorDoorOldDoubleBlockVariantHelper_LtD,blocks,block,new,"Old Interior Double Door",
closetDoorWhite_LtD,blocks,block,new,"White Closet Door",
closetDoorBrown_LtD,blocks,block,new,"Brown Closet Door",
closetDoorRed_LtD,blocks,block,new,"Red Closet Door",
closetDoorOrange_LtD,blocks,block,new,"Orange Closet Door",
closetDoorYellow_LtD,blocks,block,new,"Yellow Closet Door",
closetDoorGreen_LtD,blocks,block,new,"Green Closet Door",
closetDoorBlue_LtD,blocks,block,new,"Blue Closet Door",
closetDoorPurple_LtD,blocks,block,new,"Purple Closet Door",
closetDoorGrey_LtD,blocks,block,new,"Grey Closet Door",
closetDoorPink_LtD,blocks,block,new,"Pink Closet Door",
closetDoorBlockVariantHelper_LtD,blocks,block,new,"Closet Door",
closetDoorDoubleWhite_LtD,blocks,block,new,"White Closet Double Door",
closetDoorDoubleBrown_LtD,blocks,block,new,"Brown Closet Double Door",
closetDoorDoubleRed_LtD,blocks,block,new,"Red Closet Double Door",
closetDoorDoubleOrange_LtD,blocks,block,new,"Orange Closet Double Door",
closetDoorDoubleYellow_LtD,blocks,block,new,"Yellow Closet Double Door",
closetDoorDoubleGreen_LtD,blocks,block,new,"Green Closet Double Door",
closetDoorDoubleBlue_LtD,blocks,block,new,"Blue Closet Double Door",
closetDoorDoublePurple_LtD,blocks,block,new,"Purple Closet Double Door",
closetDoorDoubleGrey_LtD,blocks,block,new,"Grey Closet Double Door",
closetDoorDoublePink_LtD,blocks,block,new,"Pink Closet Double Door",
closetDoorDoubleBlockVariantHelper_LtD,blocks,block,new,"Closet Double Door",
pantryDoorWhite_LtD,blocks,block,new,"White Pantry Door",
pantryDoorBrown_LtD,blocks,block,new,"Brown Pantry Door",
pantryDoorRed_LtD,blocks,block,new,"Red Pantry Door",
pantryDoorOrange_LtD,blocks,block,new,"Orange Pantry Door",
pantryDoorYellow_LtD,blocks,block,new,"Yellow Pantry Door",
pantryDoorGreen_LtD,blocks,block,new,"Green Pantry Door",
pantryDoorBlue_LtD,blocks,block,new,"Blue Pantry Door",
pantryDoorPurple_LtD,blocks,block,new,"Purple Pantry Door",
pantryDoorGrey_LtD,blocks,block,new,"Grey Pantry Door",
pantryDoorPink_LtD,blocks,block,new,"Pink Pantry Door",
pantryDoorBlockVariantHelper_LtD,blocks,block,new,"Pantry Door",
commercialGlassDoor_LtD,blocks,block,new,"Commercial Glass Door",
commercialGlassDoorDouble_LtD,blocks,block,new,"Commercial Glass Door Double",
commercialSlidingDoor_LtD,blocks,block,new,"Commercial Sliding Door",
commercialBulletproofGlassDoor_LtD,blocks,block,new,"Commercial Bulletproof Glass Door",
commercialBulletproofGlassDoorDouble_LtD,blocks,block,new,"Commercial Bulletproof Glass Door Double",
commercialBulletproofSlidingDoor_LtD,blocks,block,new,"Commercial Bulletproof Sliding Door",
commercialDoorV1White_LtD,blocks,block,new,"White Commercial Door V1",
commercialDoorV1Brown_LtD,blocks,block,new,"Brown Commercial Door V1",
