Key,Source,Context,Changes,English




ammoTicket,item,,,Ammo Ticket
ammoTicketDesc,item,,,Rewarded for successfully surviving the challenge. 
challenge1Zombie,item,,,Challenge 1 - Kill 9
challenge1ZombieDesc,item,,,Challenge - Just A Small Town Girl. Win and claim your prize. This quest cannot be shared. Good Luck
challenge2Zombie,item,,,Challenge 2 - Kill 9
challenge2ZombieDesc,item,,,Challenge - The Three Stooges. Win and claim your prize. This quest cannot be shared. Good Luck
challenge3Zombie,item,,,Challenge 3 - Kill 10
challenge3ZombieDesc,item,,,Challenge - He Was A Skater Boy. Win and claim your prize. This quest cannot be shared. Good Luck
challenge4Zombie,item,,,Challenge 4 - Kill 10
challenge4ZombieDesc,item,,,Challenge - Girls Just Wanna Have Fun. Win and claim your prize. This quest cannot be shared. Good Luck
challenge5Zombie,item,,,Challenge 5 - Kill 13
challenge5ZombieDesc,item,,,Challenge - Work From Home. Win and claim your prize. This quest cannot be shared. Good Luck
challenge6Zombie,item,,,Challenge 6 - Kill 10
challenge6ZombieDesc,item,,,Challenge - Born To Be Wild. Win and claim your prize. This quest cannot be shared. Good Luck
challenge7Zombie,item,,,Challenge 7 - Kill 14
challenge7ZombieDesc,item,,,Challenge - Don't Worry Be Happy. Win and claim your prize. This quest cannot be shared. Good Luck
challenge8Zombie,item,,,Challenge 8 - Kill 6
challenge8ZombieDesc,item,,,Challenge - Jump! Jump! Jump! Win and claim your prize. This quest cannot be shared. Good Luck
challenge9Zombie,item,,,Challenge 9 - Kill 14
challenge9ZombieDesc,item,,,Challenge - Takin' Care Of Business. Win and claim your prize. This quest cannot be shared. Good Luck
challenge10Zombie,item,,,Challenge 10 - Kill 9
challenge10ZombieDesc,item,,,Challenge - There Goes My Hero. Win and claim your prize. This quest cannot be shared. Good Luck
challenge11Zombie,item,,,Challenge 11 - Kill 12
challenge11ZombieDesc,item,,,Challenge - I'm like a bird. Win and claim your prize. This quest cannot be shared. Good Luck
challenge12Zombie,item,,,Challenge 12 - Kill 10
challenge12ZombieDesc,item,,,Challenge - Unexpected Mutation. Win and claim your prize. This quest cannot be shared. Good Luck
challenge13Zombie,item,,,Challenge 13 - Kill 8
challenge13ZombieDesc,item,,,Challenge - Who Let The Dogs Out. Win and claim your prize. This quest cannot be shared. Good Luck
challenge14Zombie,item,,,Challenge 14 - Kill 9
challenge14ZombieDesc,item,,,Challenge - All Dogs Go To Heaven. Win and claim your prize. This quest cannot be shared. Good Luck
challenge15Zombie,item,,,Challenge 15 - Kill 1
challenge15ZombieDesc,item,,,Challenge - Mutated Porker. Win and claim your prize. This quest cannot be shared. Good Luck
challenge16Zombie,item,,,Challenge 16 - Kill 9
challenge16ZombieDesc,item,,,Challenge - Just A Small Town Girl 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge17Zombie,item,,,Challenge 17 - Kill 9
challenge17ZombieDesc,item,,,Challenge - The Three Stooges 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge18Zombie,item,,,Challenge 18 - Kill 10
challenge18ZombieDesc,item,,,Challenge - He Was A Skater Boy 2. Win and claim your prize. This quest cannot be shared. Good Luck
challenge19Zombie,item,,,Challenge 19 - Kill 10
