Key,File,Type,UsedInMainMenu,NoTranslate,english

AssistingtheTradersJenItem,Items,item,,,"Call to Arms"
AssistingtheTradersJenItemDesc,Items,item,,,"[c7a340]A hastily written note"

AssistingtheTradersJen_name,Quest,Quest Info,,,"Assisting the WhiteRiver Faction"
AssistingtheTradersJen_subtitle,Quest,Quest Info,,,"Assisting Trader Jen"
AssistingtheTradersJen_description,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this, There's a huge horde heading straight for my compound! please come help me before I get over run." 
AssistingtheTradersJen_offer,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this,\n\nThere's a huge horde heading straight for my compound!\n\n please come help me before I get over run. \n\n - Jen"

AssistingtheTradersHughItem,Items,item,,,"Call to Arms"
AssistingtheTradersHughItemDesc,Items,item,,,"[c7a340]A hastily written note"

AssistingtheTradersHugh_name,Quest,Quest Info,,,"Assisting the WhiteRiver Faction"
AssistingtheTradersHugh_subtitle,Quest,Quest Info,,,"Assisting Trader Hugh"
AssistingtheTradersHugh_description,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this, There's a huge horde heading straight for my compound! please come help me before I get over run." 
AssistingtheTradersHugh_offer,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this,\n\nThere's a huge horde heading straight for my compound!\n\n please come help me before I get over run. \n\n - Hugh"

AssistingtheTradersJoelItem,Items,item,,,"Call to Arms"
AssistingtheTradersJoelItemDesc,Items,item,,,"[c7a340]A hastily written note"

AssistingtheTradersJoel_name,Quest,Quest Info,,,"Assisting the WhiteRiver Faction"
AssistingtheTradersJoel_subtitle,Quest,Quest Info,,,"Assisting Trader Joel"
AssistingtheTradersJoel_description,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this, There's a huge horde heading straight for my compound! please come help me before I get over run." 
AssistingtheTradersJoel_offer,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this,\n\nThere's a huge horde heading straight for my compound!\n\n please come help me before I get over run. \n\n - Joel"

AssistingtheTradersBobItem,Items,item,,,"Call to Arms"
AssistingtheTradersBobItemDesc,Items,item,,,"[c7a340]A hastily written note"

AssistingtheTradersBob_name,Quest,Quest Info,,,"Assisting the WhiteRiver Faction"
AssistingtheTradersBob_subtitle,Quest,Quest Info,,,"Assisting Trader Bob"
AssistingtheTradersBob_description,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this, There's a huge horde heading straight for my compound! please come help me before I get over run." 
AssistingtheTradersBob_offer,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this,\n\nThere's a huge horde heading straight for my compound!\n\n please come help me before I get over run. \n\n - Bob"

AssistingtheTradersRektItem,Items,item,,,"Call to Arms"
AssistingtheTradersRektItemDesc,Items,item,,,"[c7a340]A hastily written note"

AssistingtheTradersRekt_name,Quest,Quest Info,,,"Assisting the WhiteRiver Faction"
AssistingtheTradersRekt_subtitle,Quest,Quest Info,,,"Assisting Trader Rekt"
AssistingtheTradersRekt_description,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this, There's a huge horde heading straight for my compound! please come help me before I get over run." 
AssistingtheTradersRekt_offer,Quest,Quest Info,,,"[00ff00]I've put out a lot of leaflets in the hopes someone finds this,\n\nThere's a huge horde heading straight for my compound!\n\n please come help me before I get over run. \n\n - Rekt"

JensToken,Items,item,,,"Jens Token"
HughsToken,Items,item,,,"Hughs Token"
JoelsToken,Items,item,,,"Joels Token"
BobsToken,Items,item,,,"Bobs Token"
RektsToken,Items,item,,,"Rekts Token"
TraderTokenDesc,Items,item,,,"[c7a340]A gift given by a Trader for your service.[-]"

JensTokenLuckyDip,Items,item,,,"Jens Lucky Dip"
HughsTokenLuckyDip,Items,item,,,"Hughs Lucky Dip"
JoelsTokenLuckyDip,Items,item,,,"Joels Lucky Dip"
BobsTokenLuckyDip,Items,item,,,"Bobs Lucky Dip"
RektsTokenLuckyDip,Items,item,,,"Rekts Lucky Dip"
TokenLuckyDipDesc,Items,item,,,"[c7a340]Do you feel lucky?.[-]"

Speedyboots,item_modifiers,mod,,,"Speedy Boots"
SpeedybootsDesc,item_modifiers,mod,,,"Increases base run speed by 25%.\n\n[ff0000]Installed in foot armour only."

XpBooster,item_modifiers,mod,,,"Xp Booster"
XpBoosterDesc,item_modifiers,mod,,,"Increases base XP by 10% for all actions and kills, stacks with other xp buffers.\n\n[ff0000]Can be installed in the Chest only."

KevlarPlating,item_modifiers,mod,,,"Kevlar Plating"
KevlarPlatingDesc,item_modifiers,mod,,,"Offers solid protection.\n\n[ff0000]Can be installed in all pieces of armour."

SacredFlame,item_modifiers,mod,,,"Sacred Flame"
SacredFlameDesc,item_modifiers,mod,,,"Grants a divine buff to ranged weapons, allowing most of your range shots to set the target on fire."

ArcticSnap,item_modifiers,mod,,,"Arctic Snap"
ArcticSnapDesc,item_modifiers,mod,,,"Grants a Chilling buff to ranged weapons, this effect brings even Radiated creatures to a crawl, allowing you much more control over hairy situations."

JensTreasureMap,Items,item,,,"Journey of two Brothers"
JensTreasureMapDesc,Items,item,,,"[e39922]A dusty book given by Jen, she seems to think there's something more to it."

JensTreasureMap_title,Quest,Quest Info,,,"A mans journal"
JensTreasureMap_title,Quest,Quest Info,,,"A tale of two Brothers"
JensTreasureMapQuestDesc,Quest,Quest Info,,,"[e39922]Oliver and I scavenged what’s left of the old mall, our hands trembling with excitement and fear.\nWe found a stash of canned goods, instant happiness. I could see Oliver's face light up, it’s the little victories that keep us going he said, I caught sight of shadows moving in the distance.\n[-][e39922]“Get down!” [-][e39922]I whispered, as we ducked behind an overturned shelf. Our hearts raced as a horde shambled past, the stench of decay assaulting our senses. not long after it got quiet again.\nLater that night, curled up in our sleeping bags, in our makeshift shelter, we played cards by the campfire. It felt good to laugh, to forget, if only for a moment.\nAs I lay there listening to Oliver I couldn't help shake my anxiety, I realized that friendship was the one thing this apocalypse couldn’t take from us.\nTomorrow we head out again. Always searching, always hoping.[-]" 
JensTreasureMapDesc_offer,Quest,Quest Info,,,"[e39922]Oliver and I scavenged what’s left of the old mall, our hands trembling with excitement and fear.\nWe found a stash of canned goods, instant happiness. I could see Oliver's face light up, it’s the little victories that keep us going he said, I caught sight of shadows moving in the distance.\n[-][e39922]“Get down!” [-][e39922]I whispered, as we ducked behind an overturned shelf. Our hearts raced as a horde shambled past, the stench of decay assaulting our senses. not long after it got quiet again.\nLater that night, curled up in our sleeping bags, in our makeshift shelter, we played cards by the campfire. It felt good to laugh, to forget, if only for a moment.\nAs I lay there listening to Oliver I couldn't help shake my anxiety, I realized that friendship was the one thing this apocalypse couldn’t take from us.\nTomorrow we head out again. Always searching, always hoping.[-]"

JensTreasureMap2,Items,item,,,"Journey of two Brothers; Page 2"
JensTreasureMap2Desc,Items,item,,,"[e39922]A page of the book, it appears to be very weathered."

JensTreasureMap2_title,Quest,Quest Info,,,"A mans journal; Page 2"
JensTreasureMap2_title,Quest,Quest Info,,,"A tale of two Brothers"
JensTreasureMap2QuestDesc,Quest,Quest Info,,,"[e39922]Today started like any other day in the wasteland, scavenging for supplies and trying to fortify our makeshift base.\nI was rummaging through an abandoned house when I heard Oliver shouting for help.\nI rushed outside, Sweating buckets, only to find him wrestling with a small horde of zombies. It was chaos.\nWe fled back to camp in a panic, but I keep replaying it in my head.\nwhat if something had gone wrong? what if those things took my best friend from me...\nI can't leave him alone anymore, I just can't risk him being taken from me. Not now.\n\n\n[-][ff0000](You will now follow the path they've taken)"
