Key,English

spd_headerTitle,5th Day Mod
spd_headerMotto,"[e7d27c]Notes from SarahandJeff[-]"
link1,HangOver HideOut Discord
link2,Twitch
link3,Youtube

tab1,"Basics"
tab2,"Biomes"
tab3,"Workstations"
tab4,"Armor"
tab5,"Farming"
tab6,"Vehicles"
tab7,"Weapons"
tab8,"Questing"
tab9,"Skills"
tab10,"Credits"


tab1Desc,"Getting Started\nUpon entering a new world you will see a bag on your toolbelt.  Open it up.\nIt contains starting armor, weapons, consumables.\n            [1E27B3]EQUIP THE BACKBAG TO YOUR OUTFIT AND PUT IT ON![-]\nYou have a weight system in 5th Day, if you are overweight, then your fat ass ain't moving.\nLearn By Doing\nLearn by doing has been brought back to 7D2D in 5th Day.\nWanna get stronger with clubs, use it.\nWant to be better with a bow? Kill enemies with one.\n Want to be more proficient with a gun? Shoot the damn thing.\nSame with tools, want to harvest more ore with the pickaxe. Go mining.\nSame with wrenching.\n     If you don't use your skills then you are worse than a noob. Some workbenchs require s-core wireless power. Basically have to have a battery bank or generator running within 10 blocks.* Cooking requires a propane camp stove and black propane tank. Fueled by a white propane tank (can be found in large tanks)\nJeff had this weird thought that he should take the idea from Crystal Hell mod (Thanks Shavick) and build upon the learn by doing system. Then along the way was like. ok I don't like the workbechs let's make our own and change how you craft them, Then out of the blue was like I don't like the weapons and how you craft ammo let's change that too, etc.\nDetailed well as detailed as I can make it list of changes.\n* Removed magazines\n* Removed skills and skill points everything is learn by doing, using and some crafting"
tab2Desc,"How do I progress to next biome.\nEvery 5 minutes you have a 5% chance the boss will spawn. As long as you are not in a safe zone. Also will need to find and read Art of Mining 1 and mine the expected rare gem.\n* Forest boss -> Level 6+ then mine Iron for the Quartz\n* Burnt Forest boss -> Level 20+ then mine Nitrate for the Black Diamonds\n* Desert boss -> Level 30+ then mine Oil Shale for the Red Ruby\n* Snow boss -> Level 40+ then mine Coal for the Blue Saffire\nTo cure alement prior to obtaining protection.\nAcid -> Jump in water and wash it off!\nHeat -> Let's see drink alot of water!\nCold -> Well how about a fire or drinking alot of coffee!\nRadiation -> I think there is a lil pill for that. IODIDE they are purple!"
tab3Desc,"Workstations.\n There is a ton of them for you to use. But you may ask “But Rev, I can't craft a workbench, what do I do?”\n Go find the damn thing out in the world and wrench them down.\n Workbench, cement mixer, gunsmithing benchs, ammo bench, workshops, chemistry stations.\nALL HAVE TO BE WRENCHED down and brought back to your base and repaired."
tab4Desc,"We added a weighted backpack system (thanks to s-core) there are 4 backpacks.\nCivilian aka starter. Small, Medium, Large military backpacks.\nEach level increases your carrying capacity. These are crafted by leveling your armor skills. Leveling armor can be done a few ways.\nBy crafting cloth, letting your armor take damage and lastly by crafting armor mods.\nTime is a wonderful thing too bad you can't tell time. Waite loot a couch and see if you can find a blue cell phone..\n     [1E27B3] Just don't open it.[-] you need it whole. Well atleast the first one."
tab5Desc,"There are multiple animals pens to craft and use in 5th Day to help with sustaining a long term food supply. Cow Pens, Pig Pens, Chicken Coops, Beehives. All can be crafted on your person given you have the required materials for said stations. “But Rev, where do I get cows from” Really?!?!?! How about you go slaughter a couple and harvest them, maybe you'll get lucky and take one out that was preggers and you can get a calf from it. Same with the pigs. “Rev, what about bees?!?!” Well what do you associate with bees? HONEY. Go to stumps and break them down. There is a chance that bees will spawn and attack you. Killing them could, oh I don't know....give you a bee. Farm plots are a pain in the ass to craft, unless Jeff changes the recipes for them, I personally recommend taking any farming bundles you may collect from quests. If not, look into crafting a Composter in your endeavors to becoming a farmer. Farm plots need to be placed within 5 blocks of a water source. Whether that is a pond, pool or a whole you dig and fill with water.\n\nFeeding Animals.\n*Chickens,Pigs & Cows need feed that is made in the mixer\n*Bees require sugar water"
tab6Desc,"Vehicles can not be crafted. They have to be either found and repaired or purchased from the vehicle trader (if you can find one).\n\nAll vehicle aspects require the auto workshop bench.\n General locations is anywhere in the game that you might find the chemstation bench. Because it is a 3 block wide bench.\nBest place I found the is Ostrich Hotel. Second floor from the top.\n\nTo repair a vehicle you need the Mechanics Impact gun.\nNO IT IS NOT A REPAIR ALL TOOL"
tab7Desc,"Bulleted weapons have a special way they need to be dealt with.\n+ Pistols skill must be level 50+ to unlock the ability to use a machine gun or shotgun\n+ Machine guns must be level 50+ to unlock the ability to use a SMG.\n+ Shotguns must be level 50+ to unlock the ability to use a rifle.\n * only way to level a weapon is to use it. *\n\nEvery gun class now has it's own inner progression.\nJust like in vanilla you must there are multiple tiers however in 5thday.\n Although all weapons in a class can still do damage regardless of it's class progression. Each weapon must be brought up by 25 levels to use the next for gaining xp.\nExample: starter 38 must be skill level 25+ to use the glock9 for gaining xp in pistols etc."
tab8Desc,"5th Day uses a ton of custom quests. IF you are playing with multiple people in a party and everyone chooses one of said custom quests, you will NOT be able to start another one until the first one has been turned back into the trader. SOOOOOO, to make it work more efficient in your groups, have only one person with a custom quest and the others pick the normal vanilla quests (buried, fetch, clear, infested) BUT do the vanilla quests first and leave your custom quest to be completed last. IF NOT then well you will need to go turn in the custom quest before you can start any of the other quests. Now...BEFORE blowing up discord with a ton of the same questions over and over....read this little list of steps and see if your concern has already been answered."
tab9Desc,"Before we continue. Yes I know the Progression & the Skill levels are off by 1.\nBecause in vanilla you start out with 1 magazine read in every crafting skill."
tab10Desc,"With out these people not sure I would have gotten this far.\n\nShavickk\nStallionsDen\nR3dhot_Gaming\nAuroraGigglyFairy\n\n For putting up with my non-sense on wanting to learn how everyting works.\n From learning XML to making POIs to making assets in unity and blender.\n              [1E27B3]THANK YOU GUYS[-]"

