Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
zrb-armourreducation1,buffs,Buff,,,Armour Reduced by 20%,,,,,,,,,,,,,
zrb-armourreducation1Name,buffs,Buff,,,Armour Reduced by 20%,,,,,,,,,,,,,
zrb-armourreducation1Desc,buffs,Buff,,,Armour Reduced by 20%,,,,,,,,,,,,,
zrb-armourreducation2,buffs,Buff,,,Armour Reduced by 40%,,,,,,,,,,,,,
zrb-armourreducation2Name,buffs,Buff,,,Armour Reduced by 40%,,,,,,,,,,,,,
zrb-armourreducation2Desc,buffs,Buff,,,Armour Reduced by 40%,,,,,,,,,,,,,
zrb-armourreducation3,buffs,Buff,,,Armour Reduced by 60%,,,,,,,,,,,,,
zrb-armourreducation3Name,buffs,Buff,,,Armour Reduced by 60%,,,,,,,,,,,,,
zrb-armourreducation3Desc,buffs,Buff,,,Armour Reduced by 60%,,,,,,,,,,,,,
zrb-armourreducation4,buffs,Buff,,,Armour Reduced by 75%,,,,,,,,,,,,,
zrb-armourreducation4Name,buffs,Buff,,,Armour Reduced by 75%,,,,,,,,,,,,,
zrb-armourreducation4Desc,buffs,Buff,,,Armour Reduced by 75%,,,,,,,,,,,,,
zrb-armourreducation5,buffs,Buff,,,Armour Reduced by 90%,,,,,,,,,,,,,
zrb-armourreducation5Name,buffs,Buff,,,Armour Reduced by 90%,,,,,,,,,,,,,
zrb-armourreducation5Desc,buffs,Buff,,,Armour Reduced by 90%,,,,,,,,,,,,,
