Combined localizations
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-ByteblazarsNoBlurryTextures\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-Material Modifier\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.idea\.idea.0-SCore.dir\.idea\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\.vs\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\Stamps\localization.txt "
 "C:\7D2D\Custom\5th_Day_Reloaded\Mods\0-SCore-2.6.21.1949\Caves\StampsV2\localization.txt "
Key,English,French,german,russian
<include filename="Dialogs/Zombies.txt"/>
takeandreplace,"Rip off ","Changer","Abreißen ","Оторвать "
musicbox_turnOn,"Turn On","Allumer","Einschalten","Включить"
musicbox_turnOff,"Turn Off","Eteindre","Ausschalten","Выключить"
BanditFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
UndeadFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
DukeRiverFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
WhiteRiverFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
ResetFactionSchematic,"Master of disguse","Maitre de l'écoeurement","Meister der Verkleidung","Мастер маскировки"
ResetFactionSchematicDesc,"Read this to reset your faction!","le Reseter Le Faction...er...","Lies dies, um deine Fraktion zurückzusetzen!","Прочтите это, чтобы сбросить свою фракцию!"
BanditFactionSchematicDesc,"Read this to switch over to the bandit faction!","Lisez ceci pour basculer dans la faction des bandits!","Lies dies, um zur Banditen-Fraktion zu wechseln!","Прочтите это, чтобы перейти на сторону фракции бандитов!"
