Key,English
kevbal_cavepoi_01,"Hope For A Cure"
kevbal_cavepoi_02,"Apache Cave of Hope"
kevbal_cavepoi_03,"Shhhhh"
kevbal_cavepoi_04,"Wildlife Sanctuary"
kevbal_cavepoi_05,"Hord Night"
kevbal_cavepoi_06,"As Above..."
kevbal_cavepoi_07,"Trader Union"
kevbal_cavepoi_08,"Rebirth"
kevbal_cavepoi_09,"Get Rekt"
kevbal_cavepoi_10,"Wrong Turn"
kevbal_entrance_01,"Walk in the Park"
kevbal_entrance_02,"Black and Blue Justice"
kevbal_entrance_03,"Shamway Sinkhole"
kevbal_entrance_04,"ARNG Last Stand"
kevbal_entrance_05,"Navesgane Monument"
kevbal_entrance_06,"Over My Cold Dead..."
kevbal_entrance_07,"Close Encounters"
kevbal_entrance_08,"We Tried"
kevbal_entrance_09,"Sanctuary"
kevbal_entrance_10,"Picnic at the lake"
kevbal_entrance_11,"Sector 36"
kevbal_entrance_12,"The Riccton Ranch"
kevbal_entrance_13,"Mickeys Meats"
kevbal_entrance_14,"Nookies Cookies"
kevbal_entrance_15,"The Watchtower"
