Key,english
ammo9mmHollowPoint,"9mm, Steel Hollow Point(Ammo)"
ammo9mmHollowPointdesc,"1 fucked bullet to kill dem all 9mm, Steel Hollow Point(Ammo)"
ammo9mmFMJ,"9mm, Steel Full Metal Jacket(Ammo)"
ammo9mmFMJdesc,"if this don't do it well sorry you will die. 9mm, Steel Full Metal Jacket(Ammo)"
ammo9mmBallistic,"9mm, Steel Ballistic(Ammo)"
ammo9mmBallisticdesc,"this is one hot mess of a bullet. 9mm, Steel Ballistic(Ammo)"
ammo9mmShock,"9mm, Steel Shocking(Ammo)"
ammo9mmShockdesc,"almost think they like getting a shocking experience9mm, Steel Shocking(Ammo)"
ammo9mmRadiation,"9mm, Steel Radiation Poisoning(Ammo)"
ammo9mmRadiationdesc,"almost think they like getting Radiation Poisoning 9mm, Steel Radiation Poisoning(Ammo)"

ammo762mmHollowPoint,"762mm, Steel Hollow Point(Ammo)"
ammo762mmHollowPointdesc,"1 fucked bullet to kill dem all 762mm, Steel Hollow Point(Ammo)"
ammo762mmFMJ,"762mm, Steel Full Metal Jacket(Ammo)"
ammo762mmFMJdesc,"if this don't do it well sorry you will die. 762mm, Steel Full Metal Jacket(Ammo)"
ammo762mmBallistic,"762mm, Steel Ballistic(Ammo)"
ammo762mmBallisticdesc,"this is one hot mess of a bullet. 762mm, Steel Ballistic(Ammo)"
ammo762mmShock,"762mm, Steel Shocking(Ammo)"
ammo762mmShockdesc,"almost think they like getting a shocking experience 762mm, Steel Shocking(Ammo)"
ammo762mmRadiation,"762mm, Steel Radiation Poisoning(Ammo)"
ammo762mmRadiationdesc,"almost think they like gettingRadiation Poisoning 762mm, Steel Radiation Poisoning(Ammo)"





ammo44magHollowPoint,"44mag, Steel Hollow Point(Ammo)"
ammo44magHollowPointdesc,"1 fucked bullet to kill dem all 44mag, Steel Hollow Point(Ammo)"
ammo44magFMJ,"44mag, Steel Full Metal Jacket(Ammo)"
ammo44magFMJdesc,"if this don't do it well sorry you will die. 44mag, Steel Full Metal Jacket(Ammo)"
ammo44magBallistic,"44mag, Steel Ballistic(Ammo)"
ammo44magBallisticdesc,"this is one hot mess of a bullet. 44mag, Steel Ballistic(Ammo)"
ammo44magShock,"44mag, Steel Shocking(Ammo)"
ammo44magShockdesc,"almost think they like getting a shocking experience 44mag, Steel Shocking(Ammo)"
ammo44magRadiation,"44mag, Steel Radiation Poisoning(Ammo)"
ammo44magRadiationdesc,"almost think they like getting Radiation Poisoning 44mag, Steel Radiation Poisoning(Ammo)"


ammoShotgunShellHollowPoint,"ShotgunShell, Steel Hollow Point(Ammo)"
ammoShotgunShellHollowPointdesc,"1 fucked bullet to kill dem all ShotgunShell, Steel Hollow Point(Ammo)"
ammoShotgunShellFMJ,"ShotgunShell, Steel Full Metal Jacket(Ammo)"
ammoShotgunShellFMJdesc,"if this don't do it well sorry you will die. ShotgunShell, Steel Full Metal Jacket(Ammo)"
ammoShotgunBallistic,"ShotgunShell, Steel Ballistic(Ammo)"
ammoShotgunBallisticdesc,"this is one hot mess of a bullet. ShotgunShell, Steel Ballistic(Ammo)"
ammoShotgunShellShock,"ShotgunShell, Steel Shocking(Ammo)"
ammoShotgunShellShockdesc,"almost think they like getting a shocking experience ShotgunShell, Steel Shocking(Ammo)"
ammoShotgunShellRadiation,"ShotgunShell, Steel Radiation Poisoning(Ammo)"
ammoShotgunShellRadiationdesc,"almost think they like getting Radiation Poisoning ShotgunShell, Steel Radiation Poisoning(Ammo)"




ResourceSteelBulletCasing,"Steel bullet Casing"

resourceHollowPointTip,"Hollow point Bullet Tips"
resourceBallisticTip,"Ballistic Bullet Tips"
resourceFullMetalJacketTip,"Full Metal Jacket Bullet Tips"
resourceShockerTip,"Shocking Bullet Tips"
resourceRadiationTip,"Radiation Poisoning Bullet Tips"







SteelBulletCasingdesc,"Steel bullet casings are cheaper but will damage your gun faster. They are needed for all alternative bullets"
HollowPointdesc,"Ole trusty hollow point bullet tip. They are needed for hollow point (of course), ballistic & shocking bullets."
FullMetalJacketdesc," FMJ bullet tip. I don't think this tip needs a further description. It just puts massive holes in things. OK."
BallisticTipdesc,"This is what you get when you take a hollow point and add a lil gasoline to it. Let's just say it might get a lil TOASTY."
ShockerTipdesc,"Now this one is the favorite. It's a lil funny and a lil SHOCKING."
RadiationTipdesc,"Now this one is the favorite. It's a lil funny and gives a lil Radiation Poisoning."
craftingAmmoName,"My Special Skills."
craftingAmmoDesc,"Named by Shavikk himself. Because he himself is a lil special."



MySpecialSkillMagazine,"My Special ammo Magazine"
MySpecialSkillMagazineDesc,"What ever you do!! Do not read this magazine!!! It will erase your thought about handguns."
