Key,english

fishingRodnorm,"Fishing Rod ([ff0000]No Bait[-])"
fishingRodnormDesc,"Use unbaited fishing rod and baits to craft a baited rod."

fishingRodpro,"Fishing Rod PRO ([ff0000]No Bait[-])"
fishingRodproDesc,"Faster Fishing. Use unbaited fishing rod and baits to craft a baited pro-rod."

fishingRodv3,"Triple Float Rod ([ff0000]No Bait[-])"
fishingRodv3Desc,"Triple Fishing. Use unbaited fishing rod and baits to craft a baited triple-rod."

fishingRodBaitednorm,"Fishing Rod ([00ff00]With Bait[-])"
fishingRodBaitednormDesc,"Go over to the river and left click on the water while the rod is equipped, then wait up to 10 seconds. Tight lines!.\n\n\n[ff0000]YOU'LL BE LOCKED INTO THE ANIMATION UNTIL YOU GET A CATCH[-]"

fishingRodBaitedpro,"Fishing Rod PRO ([00ff00]With Bait[-])"
fishingRodBaitedproDesc,"Go over to the river and left click on the water while the rod is equipped, then wait up to 10 seconds. Tight lines!.\n\n\n[ff0000]YOU'LL BE LOCKED INTO THE ANIMATION UNTIL YOU GET A CATCH[-]"

fishingRodBaitedv3,"Triple Float Rod ([00ff00]With Bait[-])"
fishingRodBaitedv3Desc,"Go over to the river and left click on the water while the rod is equipped, then wait up to 10 seconds. Tight lines!.\n\n\n[ff0000]YOU'LL BE LOCKED INTO THE ANIMATION UNTIL YOU GET A CATCH[-]"

fishingRodBaitedTooltip,"[00ff00]You cast your line out time to wait..."

foodBakedCarp,"Cooked Carp"
foodBakedCarpDesc,"Smells very good."

foodBakedperch,"Cooked Perch"
foodBakedperchDesc,"Smells very good. also might have a chance of helping with infection. Fish is high is things."


foodRawFishCatfish,Raw Catfish
foodRawFishBass,Raw Bass
foodRawFishBlueGil,Raw BlueGil

foodBakedBass,Cooked Bass
foodBakedBluegil,Cooked BlueGil
foodBakedCatfish,Cooked Catfish
