Key,english
DryPasta,This item is needed to make MRE Pasta Marinara.\n Don't Eat it raw
PowderedEggs,This item is needed to make MRE Breakfast.\n Don't Eat it raw
MRECase,A box of MRE Meals.\n(Comes in packs of 20)
MREBeefStew,MRE MEAL BeefStew. Can shit tastes better.
MRELambStew,MRE MEAL LambStew. We couldn't find bambi deal with it.

MREChickenCurry,MRE MEAL Chicken Curry. Shit isn't spicy could use some hot sauce.
MREPastaMarinara,MRE MEAL Pasta Marinara not like mama makes but it will have to do I'm Starving.
MREBreakfast,MRE MEAL Breakfast tastes like crap but hey there is coffee.
MREChiliMac,"MRE MEAL Chili Mac tastes so good, wars have been fought over this one."
FruitbytheFoot,Fruit by the foot. just a snack.
foodBaconAndEggs,Bacon and Eggs
foodSteakAndEggs,Steak and Eggs
Crateoveg,Crate of veggies(250) 


Cooked-foodCanChili,Cooked Can Chili

foodRawSnakeMeat,"Raw Snake"
foodRawRabbitMeat,"Raw Rabbit"
foodRawBearMeat,"Raw Bear"
foodRawChicken,"Raw Chicken"
foodRawPorkMeat,"Raw Pork"
foodRawMeat,"Raw Beef"
foodRawVenisonMeat,"Raw Venison (aka deer)"

foodRawSnakeMeatDesc,"Snake meat can be used to make jerky. It taste like shit but in a pinch it will keep you from starving."
foodRawRabbitMeatDesc,"Rabbit meat can be used to make jerky. It is better then snake. But still tastes nasty."
foodRawBearMeatDesc,"Bear meat can be used to make bear stew. This stew is a mountain mans gold."
foodRawChickenDesc,"Chicken can be used to make a few things. From homestead style canned soup to a whole chicken dinner"
foodRawPorkMeatDesc,"Pork is a very utilitarian meat. From making bacon to meat stew."
foodRawMeatDesc,"Beef it's what's for dinner. Can be used to make all sorts of things."
foodRawVenisonMeatDesc,"Venison. In my opinion the king of meat. The least amount of fat with the most amount of protien."

foodJerky,"Hard ass Jerky"
foodJerkyDesc,"No salt, no pepper man this shit tastes like cardboard. Well atleast I can survive on it."


foodCanChili,"Canned Jar of Homestyle Chili"
foodCanMixedVeg,"Canned Jar of Mixed Veggies"
foodCanStock,"Canned Jar of Stock"
foodCanBeef,"Canned Jar of Beef Meat"
foodCanChicken,"Canned Jar of Chicken Meat"
foodCanMiso,"Canned Jar of Homestyle Miso Soup"
foodCanPeas,"Canned Jar of Peas"
foodCanPears,"Canned Jar of Pears (old)"
foodCanSoup,"Canned Jar of Homestyle Soup"
foodCanVenison,"Canned Jar of Venison Meat"
foodFlour,"Flour"
foodFlourDesc,"Flour used for baking not snorting"
5thday_Mixer,"Stand Mixer"
5thday_MixerDesc,"Stand Mixer perfect thing for the homestead."
5thday_PrepTable,"Prep. Table"
5thday_PrepTableDesc,"From butchering to finishing prepared food. Best place to do it."
