Key,english

HOH_Barrier_Wall_Large,Modular Concete Fence (L)
HOH_Barrier_Wall_Large_Desc,Large 5x3x1 Modular Military Style Concrete Fence

HOH_Barrier_Wall_Small,Modular Concete Fence (S)
HOH_Barrier_Wall_Small_Desc,Small 1x3x1 Modular Military Style Concrete Fence

HOH_Barrier_Wall_Pillar,Modular Concete Post
HOH_Barrier_Wall_Pillar_Desc,Tall 1x3x1 Modular Military Style Concrete Edge Post (Fills in Spaces)

HOH_Barrier_Base_Cross,Modular Concete Base (X)
HOH_Barrier_Base_Cross_Desc,Small 4-Gang 1x1x1 Modular Military Style Concrete Fence Base Block

HOH_Barrier_Base_Straight,Modular Concete Base (St)
HOH_Barrier_Base_Straight_Desc,Small 1-Gang 1x1x1 Modular Military Style Concrete Fence Base Block 


HOH_Blast_Wall_Corner,Blast Wall Corner Filler (Strong)
HOH_Blast_Wall_Corner_Desc,Stackable Concrete 1x2x1 Military Blast Wall Corner Filler

HOH_Blast_Wall_Door_Base,Blast Wall Single Door Tunnel (Strong)
HOH_Blast_Wall_Door_Base_Desc,Concrete 3x2x1 Military Blast Wall Base, With a passthrough Suitable for a Single Vault Door!

HOH_Blast_Wall_Dbl_Door_Base,Blast Wall Double Door Tunnel (Strong)
HOH_Blast_Wall_Dbl_Door_Base_Desc,Concrete 3x2x1 Military Blast Wall Base, With a passthrough Suitable for a Double Vault Door!

HOH_Blast_Wall_Base,Blast Wall Base (Strong)
HOH_Blast_Wall_Base_Desc,Concrete 3x2x1 Military Blast Wall Base

HOH_Blast_Wall_Top,Blast Wall Top (Strong)
HOH_Blast_Wall_Top_Desc,Stackable Concrete 3x2x1 Military Blast Wall

HOH_Wall_Base_Armor_Broken,Broken Blast Wall Base (Weak)
HOH_Wall_Base_Armor_Broken_Desc,Broken Concrete 3x2x1 Military Blast Wall Base

HOH_Blast_Wall_Base_Broken,Broken Blast Wall Base (Weak)
HOH_Blast_Wall_Base_Broken_Desc,Broken Concrete 3x2x1 Military Blast Wall Base

HOH_Blast_Wall_Top_Broken,Broken Blast Wall Top (Weak)
HOH_Blast_Wall_Top_Broken_Desc,Stackable Broken Concrete 3x2x1 Military Blast Wall


HOH_Blast_Wall_Top_Armor_Full, Blast Wall Top (Armor)
HOH_Blast_Wall_Top_Armor_Full_Desc,Stackable  Concrete 3x2x1 Military Blast Wall



HOH_Blast_Wall_Corner_Armor,Armored Blast Wall Corner Filler (V-Strong)
HOH_Blast_Wall_Corner_Armor_Desc,Stackable Armored Concrete 1x2x1 Military Blast Wall Corner Filler

HOH_Blast_Wall_Door_Base_Armor,Armored Blast Wall Single Door Tunnel (V-Strong)
HOH_Blast_Wall_Door_Base_Armor_Desc,Armored Concrete 3x2x1 Military Blast Wall Base, With a passthrough Suitable for a Single Vault Door!

HOH_Blast_Wall_Dbl_Door_Base_Armor,Armored Blast Wall Double Door Tunnel (V-Strong)
HOH_Blast_Wall_Dbl_Door_Base_Armor_Desc,Armored Concrete 3x2x1 Military Blast Wall Base, With a passthrough Suitable for a Double Vault Door!

HOH_Blast_Wall_Base_Armor_Full,Armored Blast Wall Base (V-Strong)
HOH_Blast_Wall_Base_Armor_Full_Desc,Armored Concrete 3x2x1 Military Blast Wall Base

HOH_Blast_Wall_Top_Armor,Armored Blast Wall Top (V-Strong) 
HOH_Blast_Wall_Top_Armor_Desc,Stackable Armored Concrete 3x2x1 Military Blast Wall



HOH_Blast_Wall_Base_Armor_Half,Damaged Armored Blast Wall Base (Strong)
HOH_Blast_Wall_Base_Armor_Half_Desc,Damaged Armored Concrete 3x2x1 Military Blast Wall Base

HOH_Blast_Wall_Top_Armor_Half,Damaged Armored Blast Wall Top (Strong)
HOH_Blast_Wall_Top_Armor_Half_Desc,Stackable Damaged Armored Concrete 3x2x1 Military Blast Wall



HOH_Blast_Wall_Base_Armor_Broken,Broken Armored Blast Wall Base (Weak)
HOH_Blast_Wall_Base_Armor_Broken_Desc,Broken  Armored Concrete Base 3x2x1 Military Blast Wall

HOH_Blast_Wall_Top_Armor_Broken,Broken Armored Blast Wall Top (Weak)
HOH_Blast_Wall_Top_Armor_Broken_Desc,Stackable Broken  Armored Concrete 3x2x1 Military Blast Wall


HOH_Wall_Gate,Lrg Military Gate
HOH_Wall_Gate_Desc,A Large Military Gate 4x5x1 (11x1x1 left side for colliders)

HOH_Wall_Gate_Powered,Lrg Military Gate (Powered)
HOH_Wall_Gate_Powered_Desc,A Large Powered Military Gate 4x5x1 (11x1x1 left side for colliders)

HOH_Rebar,items,item,HOH_Rebar
HOH_Rebar_Desc,items,item,Bundle of Steel Rebar 

HOH_Car_Ramp,Car Ramp
HOH_Car_Ramp_Desc,just a simple car ramp. Goes on the 5th block 
HOH_Car_Ramp_Powered,Car Ramp (Powered)
HOH_Car_Ramp_Powered_Desc,Powered car ramp. Mus be placed on the 5th highest block 
vaultDoor01Double_Wall,Blast Wall Steel Vault Door Double
vaultDoor01Double_Wall_Desc,3X2X1 Can be placed to cover Blast Wall Passthrough.\n\nPress & hold [action:local:Activate][action:permanent:Activate] to lock or set a combination. Repair with Forged Steel and a construction tool.

vaultDoor01Double_Wall_Powered,Blast Wall Steel Vault Door Double(Powered)
vaultDoor01Double_Wall_Powered_Desc,3X2X1 Can be placed to cover Blast Wall Passthrough. Connect to a power source to activate this door.\n\nPress & hold [action:local:Activate][action:permanent:Activate] to lock or set a combination. Repair with Forged Steel and a construction tool.
