Key,english
chickencage,"[800080]Chicken Cage [FFFFFF]- [FF0000]Not ready for Harvest."
chickencageDesc,"[800080]Place this down and wait until it prompts you to harvest. Upon harvest, you get feathers and eggs!"
chickencageharvested,[00FF00]Chicken Eggs - Ready to harvest!
chickencageharvestedDesc,[00FF00]Chicken Cage [FFFFFF]- Ready to Harvest! [FFFFFF]- [FFFF00]Left-Click


ChickenCoop,"Chicken Coop"
ChickenCoopDesc,"Collect eggs daily from your own personal chicken coop."
ChickenCoopHarvest,"Harvestable Chicken Coop"
workbench,Workbench (requires power)
WorkingtableSaw,Working TableSaw (requires power)
workbench,Workbench (requires power)
forge,Induction Forge (requires power)
PowerHammer,Power Hammer (requires power)
MillingMachine,Gunsmithing Milling Machine (requires power)
LathingMachine,Gunsmithing Lathing Machine (requires power)


PigPen,"[800080]Pigsty [FFFFFF]- [FF0000]Not ready for Harvest."
PigPenDesc,"[800080]Place this down and wait until it prompts you to harvest. Upon harvest, you get Pork loin or a piglet!"

PigPenStage2,"[800080]Pigsty [FFFFFF]- [FF0000]Not ready for Harvest."
PigPenStage2Desc,"[800080]Place this down and wait until it prompts you to harvest. Upon harvest, you get Pork loin or a piglet!"

PigPenharvest,[00FF00]Pigsty - Ready to harvest!
PigPenharvestDesc,[00FF00]Pigsty [FFFFFF]- Ready to Harvest! [FFFFFF]- [FFFF00]Left-Click




PigPenharvested,[00FF00]Pigsty - Feed Pigs!
PigPenharvestedDesc,[00FF00]Pigsty [FFFFFF]-Feed The Pigs [FFFFFF]- [FFFF00]Left-Click
PigFeed,"Pig Feed"



MilkingStation,"[800080]MilkingStation [FFFFFF]- [FF0000]Not ready for Harvest."
MilkingStationDesc,"[800080]Place this down and wait until it prompts you to harvest. Upon harvest, you get milk, rawmeat or a calf!"

MilkingStationStage2,"[800080]MilkingStation [FFFFFF]- [FF0000]Not ready for Harvest."
MilkingStationStage2Desc,"[800080]Place this down and wait until it prompts you to harvest. Upon harvest, you get milk, rawmeat or a calf!"

MilkingStationharvest,[00FF00]MilkingStation - Ready to harvest!
MilkingStationharvestDesc,[00FF00]MilkingStation [FFFFFF]- Ready to Harvest! [FFFFFF]- [FFFF00]Left-Click




MilkingStationharvested,[00FF00]MilkingStation - Feed Cows!
MilkingStationharvestedDesc,[00FF00]MilkingStation [FFFFFF]-Feed The Cows [FFFFFF]- [FFFF00]Left-Click
CowFeed,"Cow Feed"
animalPiglet,"Piglet"
animalPigletDesc,"Baby pig used to make a pig farm or pigsty."
animalCalf,"Calf"
animalCalfDesc,"Baby cow used to make a cow farm or milking station."
foodMilk,"Fresh Cows Milk"
foodMilkDesc,"Fresh cows milk used to make various food items."
