Key,english
challengeSpendSkillPoint,Buy 1 thing from the trader
challengeSpendSkillPointDesc,"Just buy 1 thing from the trader. Had to add something we dont have skill points to spend"
challengeSpendSkillPointShort,"Just buy 1 thing from the trader. Had to add something we dont have skill points to spend"

challengeReadMagazines,Find 500 Paper
challengeReadMagazinesDesc,"Find 500 paper. Had to add something we dont have magazines to read"
challengeReadMagazinesShort,"Find 500 paper. Had to add something we dont have magazines to read"

challengeHarvestAnimals,Harvest Animals
challengeHarvestAnimalsDesc,Collect 100 peices of raw meat 
challengeHarvestAnimalsShort,Collect 100 peices of raw meat .

quest_clear_response,Clear Zombies ([DECEA3]{poi.distance}[-] [[DECEA3]{poi.direction}[-]] at [DECEA3]'{poi.name}'[-])
quest_fetch_response,Fetch ([DECEA3]{poi.distance}[-] [[DECEA3]{poi.direction}[-]] at [DECEA3]'{poi.name}'[-])
quest_fetch_clear_response,Fetch / Clear ([DECEA3]{poi.distance}[-] [[DECEA3]{poi.direction}[-]] at [DECEA3]'{poi.name}'[-])
quest_restore_power_response,Restore Power [[DECEA3]Night Only[-]] ([DECEA3]{poi.distance}[-] [[DECEA3]{poi.direction}[-]] at [DECEA3]'{poi.name}'[-])

ttLevelUp,Level Up! You are now level {0} 
npcTraderMilitary,"Military Trader"
DIALOGS
STATEMENTS
dialog_trader_statement_materialTrades,"Want to trade materials for other materials or resources, or blocks?"
dialog_trader_statement_trade_blocks,How many blocks you want?
dialog_trader_statement_trade_materials,How many materials you want?
dialog_trader_statement_trade_bars,How many bars you want?
dialog_trader_statement_type_blocks,Which type of block?
dialog_trader_statement_type_materials,Which type of material?
dialog_trader_statement_type_bars,Which type of bars?
RESPONSES
dialog_trader_response_materialTrades,Material Trading
dialog_trader_response_trade_blocks,I want blocks.
dialog_trader_response_trade_materials,I want materials.
dialog_trader_response_trade_bars,I want bars.
dialog_trader_response_25_blocks,I want 25 blocks.
dialog_trader_response_100_blocks,I want 100 blocks.
dialog_trader_response_500_blocks,I want 500 blocks.
dialog_trader_response_1000_blocks,I want 1000 blocks.
dialog_trader_response_25_materials,I want 25 materials.
dialog_trader_response_100_materials,I want 100 materials.
dialog_trader_response_500_materials,I want 500 materials.
dialog_trader_response_1000_materials,I want 1000 materials.
dialog_trader_response_25_bars,I want 25 bars.
dialog_trader_response_100_bars,I want 100 bars.
dialog_trader_response_500_bars,I want 500 bars.
dialog_trader_response_1000_bars,I want 1000 bars.
QUESTS
trade_materials_Cobblestone,Cobblestone
trade_materials_ConcreteMix,Concrete Mix
trade_materials_Cement,Cement
trade_materials_resourceForgedIron,Forged Iron
trade_materials_resourceForgedSteel,Forged Steel
trade_blocks_FlagstoneBlock,Flagstone Block
trade_blocks_rebarFrameBlock,Rebar Frame Block
trade_materials_statement,Get the materials and we can make the trade.
quest_MaterialTrader_completion,Looks about right. You're sure capable. Here are the goods.
quest_MaterialTrader1_Cobblestone,25 Cobblestone
quest_MaterialTrader1_Cobblestone_subtitle,Collect 100 Clay and 100 Stone
quest_MaterialTrader1_Cobblestone_description,Trade 100 clay and 100 small stones for 25 cobblestones.
quest_MaterialTrader2_Cobblestone,100 Cobblestone
quest_MaterialTrader2_Cobblestone_subtitle,Collect 400 Clay and 400 Stone
quest_MaterialTrader2_Cobblestone_description,Trade 400 clay and 400 small stones for 100 cobblestones.
quest_MaterialTrader3_Cobblestone,500 Cobblestone
quest_MaterialTrader3_Cobblestone_subtitle,Collect 2000 Clay and 2000 Stone
quest_MaterialTrader3_Cobblestone_description,Trade 2000 clay and 2000 small stones for 500 cobblestones.
quest_MaterialTrader4_Cobblestone,1000 Cobblestone
quest_MaterialTrader4_Cobblestone_subtitle,Collect 4000 Clay and 4000 Stone
quest_MaterialTrader4_Cobblestone_description,Trade 4000 clay and 4000 small stones for 1000 cobblestones.
quest_MaterialTrader1_ConcreteMix,25 Concrete Mix
quest_MaterialTrader1_ConcreteMix_subtitle,Collect 25 crushed sand 25 cement and 50 small stones
quest_MaterialTrader1_ConcreteMix_description,Trade 25 crushed sand 25 cement and 50 small stones for 25 concrete mix.
quest_MaterialTrader2_ConcreteMix,100 Concrete Mix
quest_MaterialTrader2_ConcreteMix_subtitle,Collect 100 crushed sand 100 cement and 200 small stones
quest_MaterialTrader2_ConcreteMix_description,Trade 100 crushed sand 100 cement and 200 small stones for 100 concrete mix.
quest_MaterialTrader3_ConcreteMix,500 Concrete Mix
