Key,english
SNJelectricwirerelay,"Mobby's Modern house fuse panel."
SNJelectricwirerelayDesc,"Works just like the vanilla one.I hated the stock one."
SNJelectricwirerelaytimed,"Mobby's Modern house fuse panel but on a timer."
SNJelectricwirerelaytimedDesc,"Works just like the vanilla one.I hated the stock one."
SNJpowerSwitch,Mobby's "Modern Light Switch."
SNJpowerSwitchDesc,"Works just like the vanilla one.I hated the stock one."
SNJelectricwireWallrelay,"Mobby's Modern house fuse panel.(inset)"
SNJelectricwireWallrelayDesc,"Works just like the vanilla one.I hated the stock one.(inset)"
SNJRangeHood,"Mobby's Modern range hood."
SNJRangeHoodDesc,"Mobby's Modern range hood. Powered light."
SNJpowerSwitchConsole01,"Mobby's Console Light Switch."
SNJpowerSwitchConsole01Desc,"Works just like the vanilla one.I hated the stock one.(Console)"
SNJpowerSwitchConsole01Activate,"Console Single Use Button"
SNJpowerSwitchActivate,"Mobby's Switch"


SNJgeneratorbank,"Mobby's Smaller Generator."
SNJgeneratorbankDesc,"Just a different generator."
SNJbatterybank,"Mobby's Modern Battery Bank."
SNJbatterybankDesc,"Modern Battery Bank. More Powerful"



snjdeskLampLight02Black,Mobby's Desk Lamp
snjdeskLampLight,Mobby's Small Desk Lamp
snjlightWallGooseneckBlack,Mobby's Wall GooseNeck Light
snjlightPorchBlack,Mobby's Wall Light

snjlightIndustrialHangingBlack,Mobby's  Industrial Hanking Light
snjtableLampLight01CenteredBlack,Mobby's Table Lamp
snjceilingFanLight,Mobby's Ceiling Fan
snjlightSconce,Mobby's Light Sconce
snjceilingLight02,Mobby's Ceiling Dome Light
snjprojectorCeiling,Mobby's Ceiling Projector
snjfluorescentLight,Mobby's Shop Fluorescent Light
snjLightVariantHelper,Mobby's Variant Lights 
SNJsignNeonColdBeer,Mobby's Neon Beer Sign
snjsignExitFrameMount,Mobby's Exit Sign Wall 
snjsignOpenWallMountFrame,Mobby's Fucking Exterior Open Sign 
snjsignOpenWallMountFrameInside,Mobby's Damn Interior Open Sign 




