Key,English
resourceBioFuel,"Bio Fuel"
resourceBioFuelDesc,"Bio Fuel is an item created by cooking Animal Fat in a Beaker at a Campfire or at a Chemistry Station. It is used to craft Gas Cans. It does not currently have a smell radius and thus can be carried around without the risk of attracting any attention."
resourceTurd,"Human Turd"
resourceTurdDesc,"Human Turd can be found in Toilets. Like Small Stones, Human Turds can be thrown at enemies, but it is unlikely to do any damage. "
cntToiletTurdCollector,Poultry Farming Nest
cntToiletTurdCollectorDesc,Collects human turd over time.\n\nRepair with Pipes
TwitchAction_SupplyTurd1,"Poop Trash Can 1"
TwitchAction_SupplyTurd1Desc,"Spawns a single Poop Trash Can 1."
TwitchAction_SupplyTurdCommand,#supply_turd
TurdAfterMeal,"After eating, I feel like pooping..."
RefreshAfterTurd,"Phew, I feel refreshed."


