key,english
Buggy_Rep_P10_Static,"Broken down sand rail buggy"
HOHVanilla4x4BreakableH_b,"Broken down off road truck"
HOHVanillaMiniBikeBreakable5_static,"Broken down mini-bike"
HOHVanillaMotorcycleBreakable5_static,"Broken down motorcycle"


Buggy_Rep_P10,[FFB400][-][00FF00]SandRail Buggy (Stage: 8/8)[-]\n[FFB400]Mechanic Impact Gun Required (Jeep Fluid Kit)[-]
Buggy_Rep_P9,[FFB400][-][00FF00]SandRail Buggy (Stage: 7/8)[-]\n[FFB400]Mechanic Impact Gun Required (5 Wheels)[-]
Buggy_Rep_P8b,[FFB400][-][00FF00]SandRail Buggy (Stage: 6/8)[-]\n[FFB400]Mechanic Impact Gun Required (1 Ignition)[-]
Buggy_Rep_P8a,[FFB400][-][00FF00]SandRail Buggy (Stage: 5/8)[-]\n[FFB400]Mechanic Impact Gun Required (1 Car Battery)[-]
Buggy_Rep_P8,[FFB400][-][00FF00]SandRail Buggy (Stage: 4/8)[-]\n[FFB400]Mechanic Impact Gun Required (ElectronicKit)[-]
Buggy_Rep_P7,[FFB400][-][00FF00]SandRail Buggy (Stage: 3/8)[-]\n[FFB400]Mechanic Impact Gun Required (Restored Engine)[-]
Buggy_Rep_P6,[FFB400][-][00FF00]SandRail Buggy (Stage: 2/8)[-]\n[FFB400]Mechanic Impact Gun Required (Car Seats)[-]
Buggy_Rep_P3,[FFB400][-][00FF00]SandRail Buggy (Stage: 1/8)[-]\n[FFB400]Mechanic Impact Gun Required (100 Pipe)[-]
5DVehicleChassis,Generic Chassis
5DInternationalBodyEmpty,Internaitonal 4X4 Body (Shell)
5DInternationalBodyComplete,Internaitonal Body Kit
ElectronicKit,"Power,Lighting & wiring kit for vehicles"
Vehicle_International_Full,International 4x4
Vehicle_International_Topless,International 4x4
Vehicle_International_Bare,International 4x4
Vehicle_International_FullPlaceable,International 4x4
Vehicle_International_ToplessPlaceable,International 4x4 (Topless)
Vehicle_International_BarePlaceable,International 4x4 (Stripped)

Chassis_P0,Rusted Chassis
Chassis_P1,Rusted Engine Teardown
International_Red_P1_NoLights,Rusted International 4x4
International_Blue_P1_NoLights,Rusted International 4x4
International_Purple_P1_NoLights,Rusted International 4x4
International_Red_P2,Rusted International 4x4
International_Blue_P2,Rusted International 4x4
International_Purple_P2,Rusted International 4x4
International_Red_P2a,Rusted International 4x4
International_Blue_P2a,Rusted International 4x4
International_Purple_P2a,Rusted International 4x4
International_Red_P3,Rusted International 4x4
International_Blue_P3,Rusted International 4x4
International_Purple_P3,Rusted International 4x4

International_Up_P1,[FFB400][-][00FF00]International 4x4 (Stage: 1/8)[-]\n[FFB400]Mechanic Impact Gun Required (Generic Chassis)[-]
International_Up_P2,[FFB400][-][00FF00]International 4x4 (Stage: 2/8)[-]\n[FFB400]Mechanic Impact Gun Required (Restored Engine)[-]
International_Up_P3,[FFB400][-][00FF00]International 4x4 (Stage: 3/8)[-]\n[FFB400]Mechanic Impact Gun Required (Restored Transmission)[-]
International_Up_P4,[FFB400][-][00FF00]International 4x4 (Stage: 4/8)[-]\n[FFB400]Mechanic Impact Gun Required (International Body Kit)[-]
International_Up_P5,[FFB400][-][00FF00]International 4x4 (Stage: 5/8)[-]\n[FFB400]Mechanic Impact Gun Required (Completed Wheels x2)[-]
International_Up_P6,[FFB400][-][00FF00]International 4x4 (Stage: 6/8)[-]\n[FFB400]Mechanic Impact Gun Required (Completed Wheels x2)[-]
International_Up_P7,[FFB400][-][00FF00]International 4x4 (Stage: 7/8)[-]\n[FFB400]Mechanic Impact Gun Required (ElectronicKit Kit)[-]
International_Up_P8,[FFB400][-][00FF00]International 4x4 (Stage: 8/8)[-]\n[FFB400]Mechanic Impact Gun Required (Jeep Fluid Kit)[-]

