Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,japanese,german,french
myth_scoutScreamer,entityclasses,Entity,,,Screamer,,,,
myth_scoutScreamerFeral,entityclasses,Entity,,,Screamer,,,,
myth_scoutScreamerRadiated,entityclasses,Entity,,,Screamer,,,,
myth_bossDoraTheExplorer,entityclasses,Entity,,,Dora the Exploder,,,,
myth_bossBoots,entityclasses,Entity,,,Boots,,,,
myth_bossMzFlexx,entityclasses,Entity,,,Mz Flexx,,Mz Flexx,,
myth_bossTomKent,entityclasses,Entity,,,Tom Kent,,,,
myth_bossSuperKaren,entityclasses,Entity,,,Super Karen,,,,
myth_bossJoeGeneric,entityclasses,Entity,,,Joe Generic,,,,
myth_bossBigBearJrodicusz,entityclasses,Entity,,,Big Bear JRodicusz,,,,
myth_bossWotjek,entityclasses,Entity,,,Wotjek,,,,
myth_animalTameChicken,entityclasses,Entity,,,Tame Chicken,,,,
myth_animalBombChicken,entityclasses,Entity,,,Attack Chicken,,,,
myth_animalTameDoe,entityclasses,Entity,,,Tame Doe,,,,
myth_animalTameStag,entityclasses,Entity,,,Tame Stag,,,,
myth_animalFriendlyBear,entityclasses,Entity,,,Friendly Bear,,,,
myth_animalFriendlyBoar,entityclasses,Entity,,,Friendly Boar,,,,
myth_animalFriendlyWolf,entityclasses,Entity,,,Friendly Wolf,,,,
myth_animalFriendlyCoyote,entityclasses,Entity,,,Friendly Coyote,,,,
myth_meleeWpnKnucklesT4MzFlexxKnuckles,items,Item,,,Mz Flexx's Knuckles,,Mz Flexx,,
myth_meleeWpnBladeT4PeterDeeMachete,items,Item,,,Peter Dee's Spanking Blade,,Peter Dee,,
myth_rangedWpnHandgunT4oXoMobsteroXoSMG,items,Item,,,oXo Mobster oXo's SMG,,oXo Mobster oXoSMG,,
myth_rangedWpnShotgunT4HellsJanitorShotgun,items,Item,,,Hell's Janitor's Shotgun,,,,
MythTwitchActionCategory_Hordes,twitch,Categories,,,Hordes,,,,
MythTwitchActionCategory_Stealth,twitch,Categories,,,Stealth,,,,
