Key,File,Type,UsedInMainMenu,NoTranslate,english
HOHSupplyDropCrateAll,Blocks,block,,,Supply Drop Crate
HOHSupplyDropAmmo,Blocks,block,,,Supply Drop Crate
HOHSupplyDropFood,Blocks,block,,,Supply Drop Crate
HOHSupplyDropMedical,Blocks,block,,,Supply Drop Crate
HOHSupplyDropBooks,Blocks,block,,,Supply Drop Crate
HOHSupplyDropRadio,Blocks,block,,,"Supply Drop Radio (All)"
HOHSupplyDropRadio_Desc,Blocks,block,,,"One time use Radio to call an airdrop for all supplies"
HOHSupplyDropRadioAmmo,Blocks,block,,,"Supply Drop Radio (Weapons)"
HOHSupplyDropRadioAmmo_Desc,Blocks,block,,,"One time use Radio to call an airdrop for weapons and/or tools"
HOHSupplyDropRadioFood,Blocks,block,,,"Supply Drop Radio (Food)"
HOHSupplyDropRadioFood_Desc,Blocks,block,,,"One time use Radio to call an airdrop for food"
HOHSupplyDropRadioMedical,Blocks,block,,,"Supply Drop Radio (Medical)"
HOHSupplyDropRadioMedical_Desc,Blocks,block,,,"One time use Radio to call an airdrop for medical supplies"
HOHSupplyDropRadioBooks,Blocks,block,,,"Supply Drop Radio (Books)"
HOHSupplyDropRadioBooks_Desc,Blocks,block,,,"One time use Radio to call an airdrop for books"
